United Arab Emirates Dirham              , AED,, builtin
Afghanistan Afghani                      , AFN,, builtin
Albania Lek                              , ALL,, builtin
Armenia Dram                             , AMD,, builtin
Netherlands Antilles Guilder             , ANG,, builtin
Angola Kwanza                            , AOA,, builtin
Argentina Peso                           , ARS,, builtin
Australia Dollar                         , AUD,, builtin
Aruba Guilder                            , AWG,, builtin
Azerbaijan New Manat                     , AZN,, builtin
Bosnia and Herzegovina Convertible Marka , BAM,, builtin
Barbados Dollar                          , BBD,, builtin
Bangladesh Taka                          , BDT,, builtin
Bulgaria Lev                             , BGN,, builtin
Bahrain Dinar                            , BHD,, builtin
Burundi Franc                            , BIF,, builtin
Bermuda Dollar                           , BMD,, builtin
Brunei Darussalam Dollar                 , BND,, builtin
Bolivia Boliviano                        , BOB,, builtin
Brazil Real                              , BRL,, builtin
Bahamas Dollar                           , BSD,, builtin
Bhutan Ngultrum                          , BTN,, builtin
Botswana Pula                            , BWP,, builtin
Belarus Ruble                            , BYR,, builtin
Belize Dollar                            , BZD,, builtin
Canada Dollar                            , CAD,, builtin
Congo/Kinshasa Franc                     , CDF,, builtin
Switzerland Franc                        , CHF,, builtin
Chile Peso                               , CLP,, builtin
China Yuan Renminbi                      , CNY,, builtin
Colombia Peso                            , COP,, builtin
Costa Rica Colon                         , CRC,, builtin
Cuba Convertible Peso                    , CUC,, builtin
Cuba Peso                                , CUP,, builtin
Cape Verde Escudo                        , CVE,, builtin
Czech Republic Koruna                    , CZK,, builtin
Djibouti Franc                           , DJF,, builtin
Denmark Krone                            , DKK,, builtin
Dominican Republic Peso                  , DOP,, builtin
Algeria Dinar                            , DZD,, builtin
Egypt Pound                              , EGP,, builtin
Eritrea Nakfa                            , ERN,, builtin
Ethiopia Birr                            , ETB,, builtin
Euro Member Countries                    , EUR,, builtin
Fiji Dollar                              , FJD,, builtin
Falkland Islands (Malvinas) Pound        , FKP,, builtin
United Kingdom Pound                     , GBP,, builtin
Georgia Lari                             , GEL,, builtin
Guernsey Pound                           , GGP,, builtin
Ghana Cedi                               , GHS,, builtin
Gibraltar Pound                          , GIP,, builtin
Gambia Dalasi                            , GMD,, builtin
Guinea Franc                             , GNF,, builtin
Guatemala Quetzal                        , GTQ,, builtin
Guyana Dollar                            , GYD,, builtin
Hong Kong Dollar                         , HKD,, builtin
Honduras Lempira                         , HNL,, builtin
Croatia Kuna                             , HRK,, builtin
Haiti Gourde                             , HTG,, builtin
Hungary Forint                           , HUF,, builtin
